;public holiday;iholide kawonkewonke;;;;
;pull (v.);tsala;;;;
;pump (n.);impompo;;;;
;punctured;,-gqabhukile;;;;
;punctured wheel;ivili eligqabhukileyo;;;;
;pure;-msulwa;;;;
;purse;isipaji;;;;
;put;-galela;;;;
;put into;faka;;;;
;quarter;i-kota;;;;
;it is quarter past 6;yi-kota past 6;;;;
;question (n.);umbuzo;;;;
;quick;-khawulezayo;;;;
;quickly;ngokukhawuleza;;;;
;radiator;iradiyeyitha;;;;
;radio;unomathotholo;;;;
;railway station;isitishi sikaloliwe;;;;
;rain (v.);-na;-netha;;;
;rain (n.);imvula;;;;
;raincoat;idyasi yemvula;;;;
;rand ;iranti;;;;
;razor;ireyizara;;;;
;read (v.);-funda;;;;
;really!;inene!;;;;
cause (n.);reason;isizathu;;;;
slip;receipt;irisithi;;;;
;recently;kutsha nje;;;;
;recommend;-cebisa;-balula;;;
;red;-bomvu;;;;
;reduce the price;-hlisa ixabiso;;;;
;region;ummandla;;;;
;regularly;rhoqo;qho;;;
;reliable;-thembekileyo;;;;
;remain;-sala;;;;
;repair (v.);lungisa;;;;
;repaired;lungiswa;;;;
;repeat (v.);phinda;;;;
;report (v.);-enza ingxelo;;;;
;request (v.);-cela;;;;
;request (n.);isicelo;;;;
;resemble;-fana na-;;;;
;rest (v.);-phumla;;;;
;rice;irayisi;;;;
;rich;isityebi;;;;
;right (adj.);-asekunene;;;;
correct;right;-nyanisile;;;;
;ripe;vuthiwe;;;;
;river;umlambo;;;;
;road;indlela;;;;
;rob;-phanga;;;;
;robbery;uphango;;;;
;room;igumbi;;;;
;rope;umnxeba;intambo;;;
;rotten;-bolile;;;;
;rubbish;inkunkuma;;;;
;rugby;umbhoxo;;;;
;run out of;,-phelelwa;;;;
sorry;sad;-lusizi;;;;
;safe;akukho ngozi;-khuselekile;;;
;salt;ityuwa;;;;
;sandwich;isengwitshi;;;;
;sandy;-nomhlaba;;;;
;sausage;isoseji;;;;
;say (v.);-thi;;;;
;say (v.trans.);-tsho;;;;
;scarce;-nqabile;;;;
;school (n.);isikolo;;;;
;sea;ulwandle;;;;
;seasons;amaxesha onyaka;;;;
;security;ukhuselekilo;;;;
;see;-bona;;;;
;sell (v.);-thengisa;;;;
;set up (a tent);-misa;;;;
;seven;isixhenxe;;;;
;shade (n.);umthunzi;;;;
;shark ;ukreba;;;;
;sharp;-bukhali;;;;
;sheep;igusha;;;;
;shelter (n.);indlwana yokufaka intloko;;;;
;shirt;ihempe;;;;
;shock (n.);umothuko;;;;
;shoe;isihlangu;;;;
;shop (n.);ivenkile;;;;
;short;-futshane;;;;
;shoulder;ingxalaba;;;;
;show;-bonisa;;;;
;sick;-gula;;;;
;side;-cala;;;;
;signature;isandla;;;;
;silence!;inzwi;;;;
;since (then);ukususela;;;;
;sing (v.);-cula;;;;
;single (man);isoka;;;;
;single (woman);intombi;;;;
;sir!;(u)Mnumzana!;mhlekazi!;;;
;sister;udade;;;;
;sit;-hlala;;;;
;be seated;-hleli;;;;
;sit down;hlala phantsi;;;;
;six;-thandathu;;;;
;skin (n.);ulusu;ufele;;;
;skirt (n.);umbhinqo;;;;
;sleep (v.);-lala;;;;
;slowly;ngokucothayo;-kade;;;
;small;-ncinci;-ncinane;;;
;smell (v.);-nuka;;;;
;smoke (v.);-tshaya;;;;
;smoke (n.);umsi;;;;
;snake;inyoka;;;;
;snow (n.);ikhephu;;;;
;soap (n.);isepha;;;;
;society;uluntu;;;;
;socks;iikawusi;;;;
;soft;ithambileyo;tofotofo;;;
;soldier;ijoni;;;;
;sometimes;ngamanye amaxesha;maxa wambi;;;
;son;unyana;;;;
;soon;kamsinya;msinyane;;;
;as soon as possible;msinyane kangangoko unakho;;;;
;sorry;-lusizi;;;;
painful;sore;-buhlungu;;;;
;soup;isuphu;;;;
;sour (adj.);-muncu;;;;
;south;umzantsi;;;;
;South Africa;uMzantsi Afrika;;;;
;souvenir shop;ivenkile ethengisa izinto zokuzikumbhuza ngendawo;;;;
;spare wheel;ivili lolaleliso;;;;
;speak;-thetha;;;;
;speak slowly;-cothisa;-cothisisa;-zekelela;;
;speaker;isithethi;;;;
;specials;isipeshali;;;;
;spectacles;iindondo;;;;
;speed (n.);isantya;;;;
;spend (money);,-chitha;;;;
;spices;izinongo;;;;
;spine;umqolo;;;;
;spoon;icephe;;;;
;sport;imidlalo;;;;
;spring (n.);intwasahlobo;;;;
;staff;abasebenzi;;;;
;stand up ;-phakama;;;;
;start (a car)(v.);-qhwitha;;;;
;station;isitishi;;;;
;stay (behind)(v.);-hlala;;;;
;stay (in sense of remain);-sala;;;;
;steal ;-ba;;;;
;stolen;ibiwe;;;;
;stick (n.);uluthi;;;;
;stomach;isisu;;;;
;stone;ilitye;;;;
;stop;-ma;;;;
;stove;isitovu;;;;
;straight ahead;ngqo;;;;
;straight up;nkqo;;;;
;stream;umfula;;;;
;street;isitalato;;;;
;strong;-omeleleyo;-namandla;;;
;strongly;ngamandla;;;;
;stuck;,-xingile;;;;
;student;umfundi;;;;
;suddenly;ngesiquphe;;;;
;sugar;iswekile;;;;
;suitable;-fanelekileyo;;;;
;summer;ihlobo;;;;
;in summer;ehlotyeni;;;;
;sun;ilanga;;;;
;in the sun;elangeni;;;;
;sunrise;ukuphuma kwelanga;;;;
;sunset;ukutshona kwelanga;;;;
;supper;isidlo sangokuhlwa;idinala;;;
;support (v.);-xhasa;;;;
;support (n.);inkxaso;;;;
;surname;ifani;;;;
;sweet;-mnandi;;;;
;swim;-dada;;;;
;swimming pool;ichibi lokudada;;;;
;table;itafile;;;;
;take;-thatha;;;;
;take time;thatha ixesha;;;;
;take photos;-fota;;;;
;tar;itha;;;;
;tarred road;indlela yetha;;;;
;taxi;iteksi;;;;
;tea;iti;;;;
;teacher;utitshala;utitshalakazi;;;
;teaspoon;itispuni;;;;
;telephone;umnxeba;ifono;ifowuni;;
;tell somebody;-xelela;;;;
;ten;ishumi;;;;
